Series,Surface,Round,dj_pts,dj_rank,opp_pts,opp_rank,dj_win,age,is_outdoor,is_five_sets,5SMA
International Gold,Hard,Semifinals,5010,3,2140,6,0,21,1,0,0.8
Masters,Hard,2nd Round,5130,3,794,40,1,21,1,0,0.8
Masters,Hard,3rd Round,5130,3,1155,27,1,21,1,0,0.6
Masters,Hard,4th Round,5130,3,1468,16,1,21,1,0,0.8
Masters,Hard,Quarterfinals,5130,3,955,35,1,21,1,0,0.8
Masters,Hard,Semifinals,5130,3,5980,2,1,21,1,0,0.8
Masters,Hard,The Final,5130,3,445,98,1,21,1,0,0.8
Masters,Hard,2nd Round,5280,3,370,122,0,21,1,0,1.0
Masters,Clay,2nd Round,4725,3,1070,29,1,21,1,0,1.0
Masters,Clay,3rd Round,4725,3,1330,20,1,21,1,0,0.8
Masters,Clay,Quarterfinals,4725,3,710,50,1,21,1,0,0.8
Masters,Clay,2nd Round,4935,3,713,49,1,21,1,0,0.8
Masters,Clay,3rd Round,4935,3,1155,26,1,21,1,0,0.8
Masters,Clay,The Final,4935,3,1090,24,1,21,1,0,0.8
Masters,Clay,2nd Round,5125,3,805,39,1,21,1,0,1.0
Masters,Clay,3rd Round,5125,3,1265,24,1,21,1,0,1.0
Masters,Clay,Quarterfinals,5125,3,511,78,1,21,1,0,1.0
Masters,Clay,Semifinals,5125,3,5435,2,0,21,1,0,1.0
Grand Slam,Clay,1st Round,5225,3,578,64,1,21,1,1,1.0
Grand Slam,Clay,2nd Round,5225,3,140,264,1,21,1,1,0.8
Grand Slam,Clay,3rd Round,5225,3,433,106,1,21,1,1,0.8
Grand Slam,Clay,4th Round,5225,3,1270,19,1,21,1,1,0.8
Grand Slam,Clay,Quarterfinals,5225,3,512,80,1,21,1,1,0.8
Grand Slam,Clay,Semifinals,5225,3,5585,2,0,21,1,1,0.8
International,Grass,2nd Round,5225,3,417,112,1,21,1,0,1.0
International,Grass,3rd Round,5225,3,888,39,1,21,1,0,0.8
International,Grass,Quarterfinals,5225,3,1010,30,1,21,1,0,0.8
International,Grass,Semifinals,5225,3,2000,8,1,21,1,0,0.8
International,Grass,The Final,5225,3,5585,2,0,21,1,0,0.8
Grand Slam,Grass,1st Round,5360,3,478,91,1,21,1,1,0.8
Grand Slam,Grass,2nd Round,5360,3,530,75,0,21,1,1,0.8
