Series,Surface,Round,dj_pts,dj_rank,opp_pts,opp_rank,dj_win,age,is_outdoor,is_five_sets,5SMA
Masters Cup,Hard,Round Robin,15285,1,7340,3,0,28,0,0,1.0
Masters Cup,Hard,Round Robin,15285,1,4620,6,1,28,0,0,1.0
Masters Cup,Hard,Semifinals,15285,1,4630,5,1,28,0,0,0.8
Masters Cup,Hard,The Final,15285,1,7340,3,1,28,0,0,0.8
ATP250,Hard,1st Round,16585,1,493,118,1,29,1,0,0.8
ATP250,Hard,2nd Round,16585,1,900,49,1,29,1,0,0.8
ATP250,Hard,Quarterfinals,16585,1,1150,35,1,29,1,0,0.8
ATP250,Hard,Semifinals,16585,1,4620,6,1,29,1,0,1.0
ATP250,Hard,The Final,16585,1,5230,5,1,29,1,0,1.0
Grand Slam,Hard,1st Round,16790,1,821,52,1,29,1,1,1.0
Grand Slam,Hard,3rd Round,16790,1,1290,29,1,29,1,1,1.0
Grand Slam,Hard,4th Round,16790,1,2145,15,1,29,1,1,1.0
Grand Slam,Hard,Quarterfinals,16790,1,4235,7,1,29,1,1,1.0
Grand Slam,Hard,Semifinals,16790,1,8165,3,1,29,1,1,1.0
Grand Slam,Hard,The Final,16790,1,8945,2,1,29,1,1,1.0
ATP500,Hard,1st Round,16790,1,1035,41,1,29,1,0,1.0
ATP500,Hard,2nd Round,16790,1,486,121,1,29,1,0,1.0
Masters 1000,Hard,2nd Round,16540,1,397,149,1,29,1,0,1.0
Masters 1000,Hard,3rd Round,16540,1,1330,30,1,29,1,0,1.0
Masters 1000,Hard,4th Round,16540,1,1630,21,1,29,1,0,1.0
Masters 1000,Hard,Quarterfinals,16540,1,2950,9,1,29,1,0,1.0
Masters 1000,Hard,Semifinals,16540,1,4810,5,1,29,1,0,1.0
Masters 1000,Hard,The Final,16540,1,2410,14,1,29,1,0,1.0
Masters 1000,Hard,2nd Round,16540,1,623,87,1,29,1,0,1.0
Masters 1000,Hard,3rd Round,16540,1,1146,38,1,29,1,0,1.0
Masters 1000,Hard,4th Round,16540,1,2510,14,1,29,1,0,1.0
Masters 1000,Hard,Quarterfinals,16540,1,3810,7,1,29,1,0,1.0
Masters 1000,Hard,Semifinals,16540,1,2290,15,1,29,1,0,1.0
Masters 1000,Hard,The Final,16540,1,4070,6,1,29,1,0,1.0
Masters 1000,Clay,2nd Round,16540,1,840,55,0,29,1,0,1.0
Masters 1000,Clay,2nd Round,15550,1,1015,40,1,29,1,0,1.0
Masters 1000,Clay,3rd Round,15550,1,2015,17,1,29,1,0,0.8
Masters 1000,Clay,Quarterfinals,15550,1,2740,10,1,29,1,0,0.8
Masters 1000,Clay,Semifinals,15550,1,4290,6,1,29,1,0,0.8
Masters 1000,Clay,The Final,15550,1,7925,2,1,29,1,0,0.8
Masters 1000,Clay,2nd Round,16550,1,558,103,1,29,1,0,0.8
Masters 1000,Clay,3rd Round,16550,1,1080,37,1,29,1,0,1.0
Masters 1000,Clay,Quarterfinals,16550,1,5675,5,1,29,1,0,1.0
Masters 1000,Clay,Semifinals,16550,1,4290,6,1,29,1,0,1.0
Masters 1000,Clay,The Final,16550,1,7525,3,0,29,1,0,1.0
Grand Slam,Clay,2nd Round,16150,1,331,161,1,29,1,1,1.0
Grand Slam,Clay,3rd Round,16150,1,765,66,1,29,1,1,0.8
Grand Slam,Clay,4th Round,16150,1,2015,16,1,29,1,1,0.8
Grand Slam,Clay,Quarterfinals,16150,1,2850,8,1,29,1,1,0.8
Grand Slam,Clay,Semifinals,16150,1,2430,15,1,29,1,1,0.8
Grand Slam,Clay,The Final,16150,1,8435,2,1,29,1,1,0.8
Grand Slam,Grass,1st Round,16950,1,309,177,1,29,1,1,1.0
Grand Slam,Grass,2nd Round,16950,1,880,55,1,29,1,1,1.0
Grand Slam,Grass,3rd Round,16950,1,1075,41,0,29,1,1,1.0
Masters 1000,Hard,2nd Round,15040,1,1230,37,1,29,1,0,1.0
Masters 1000,Hard,3rd Round,15040,1,451,129,1,29,1,0,0.8
Masters 1000,Hard,Quarterfinals,15040,1,3490,8,1,29,1,0,0.8
Masters 1000,Hard,Semifinals,15040,1,2440,14,1,29,1,0,0.8
Masters 1000,Hard,The Final,15040,1,4290,6,1,29,1,0,0.8
Grand Slam,Hard,1st Round,14840,1,216,247,1,29,1,1,0.8
Grand Slam,Hard,4th Round,14840,1,679,84,1,29,1,1,1.0
Grand Slam,Hard,Semifinals,14840,1,2835,12,1,29,1,1,1.0
Grand Slam,Hard,The Final,14840,1,4980,3,0,29,1,1,1.0
Masters 1000,Hard,2nd Round,13540,1,885,50,1,29,1,0,1.0
Masters 1000,Hard,3rd Round,13540,1,456,131,1,29,1,0,0.8
Masters 1000,Hard,Quarterfinals,13540,1,537,110,1,29,1,0,0.8
Masters 1000,Hard,Semifinals,13540,1,1950,19,0,29,1,0,0.8
Masters 1000,Hard,2nd Round,12900,1,1255,34,1,29,0,0,0.8
Masters 1000,Hard,3rd Round,12900,1,2035,18,1,29,0,0,0.6
Masters 1000,Hard,Quarterfinals,12900,1,3100,10,0,29,0,0,0.8
Masters Cup,Hard,Round Robin,10780,2,3215,9,1,29,0,0,0.8
Masters Cup,Hard,Round Robin,10780,2,5050,4,1,29,0,0,0.6
Masters Cup,Hard,Round Robin,10780,2,2780,11,1,29,0,0,0.6
Masters Cup,Hard,Semifinals,10780,2,4705,5,1,29,0,0,0.8
Masters Cup,Hard,The Final,10780,2,11185,1,0,29,0,0,0.8
ATP250,Hard,1st Round,11780,2,758,63,1,30,1,0,0.8
ATP250,Hard,2nd Round,11780,2,722,71,1,30,1,0,0.8
ATP250,Hard,Quarterfinals,11780,2,558,107,1,30,1,0,0.8
ATP250,Hard,Semifinals,11780,2,1035,42,1,30,1,0,0.8
ATP250,Hard,The Final,11780,2,12410,1,1,30,1,0,0.8
Grand Slam,Hard,1st Round,11780,2,1105,40,1,30,1,1,0.8
Grand Slam,Hard,2nd Round,11780,2,498,117,0,30,1,1,1.0
ATP500,Hard,1st Round,9735,2,775,62,1,30,1,0,1.0
ATP500,Hard,2nd Round,9735,2,1110,32,1,30,1,0,0.8
ATP500,Hard,Quarterfinals,9735,2,2075,17,0,30,1,0,0.8
Masters 1000,Hard,2nd Round,9825,2,933,46,1,30,1,0,0.8
Masters 1000,Hard,3rd Round,9825,2,1155,35,1,30,1,0,0.6
Masters 1000,Hard,4th Round,9825,2,2255,16,0,30,1,0,0.6
Masters 1000,Clay,2nd Round,7905,2,1255,32,1,30,1,0,0.8
Masters 1000,Clay,3rd Round,7905,2,2025,19,1,30,1,0,0.6
Masters 1000,Clay,Quarterfinals,7905,2,2705,13,0,30,1,0,0.6
Masters 1000,Clay,2nd Round,7085,2,675,76,1,30,1,0,0.8
Masters 1000,Clay,3rd Round,7085,2,1045,38,1,30,1,0,0.6
Masters 1000,Clay,Semifinals,7085,2,4375,5,0,30,1,0,0.6
Masters 1000,Clay,2nd Round,6845,2,848,55,1,30,1,0,0.8
Masters 1000,Clay,3rd Round,6845,2,2110,20,1,30,1,0,0.6
Masters 1000,Clay,Quarterfinals,6845,2,1125,34,1,30,1,0,0.6
Masters 1000,Clay,Semifinals,6845,2,4035,7,1,30,1,0,0.8
Masters 1000,Clay,The Final,6845,2,2300,17,0,30,1,0,0.8
Grand Slam,Clay,1st Round,7445,2,675,77,1,30,1,1,0.8
Grand Slam,Clay,2nd Round,7445,2,830,59,1,30,1,1,0.8
Grand Slam,Clay,3rd Round,7445,2,1005,41,1,30,1,1,0.8
Grand Slam,Clay,4th Round,7445,2,2065,20,1,30,1,1,0.8
Grand Slam,Clay,Quarterfinals,7445,2,4145,7,0,30,1,1,0.8
ATP250,Grass,2nd Round,5805,4,671,75,1,30,1,0,0.8
ATP250,Grass,Quarterfinals,5805,4,935,47,1,30,1,0,0.8
ATP250,Grass,Semifinals,5805,4,864,52,1,30,1,0,0.8
ATP250,Grass,The Final,5805,4,2545,16,1,30,1,0,0.8
Grand Slam,Grass,2nd Round,6055,4,415,136,1,30,1,1,0.8
Grand Slam,Grass,3rd Round,6055,4,50,589,1,30,1,1,0.8
Grand Slam,Grass,4th Round,6055,4,896,51,1,30,1,1,1.0
Grand Slam,Hard,1st Round,2335,14,816,63,1,31,1,1,1.0
Grand Slam,Hard,2nd Round,2335,14,1265,39,1,31,1,1,1.0
Grand Slam,Hard,3rd Round,2335,14,1845,22,1,31,1,1,1.0
Grand Slam,Hard,4th Round,2335,14,857,58,0,31,1,1,1.0
Masters 1000,Hard,2nd Round,2380,13,539,109,0,31,1,0,1.0
Masters 1000,Hard,2nd Round,2300,12,1075,47,0,31,1,0,0.8
Masters 1000,Clay,1st Round,2310,13,639,93,1,31,1,0,0.6
Masters 1000,Clay,2nd Round,2310,13,1251,39,1,31,1,0,0.4
Masters 1000,Clay,3rd Round,2310,13,3665,7,0,31,1,0,0.4
ATP500,Clay,2nd Round,2220,12,396,140,0,31,1,0,0.4
Masters 1000,Clay,1st Round,2220,12,1835,20,1,31,1,0,0.4
Masters 1000,Clay,2nd Round,2220,12,1757,22,0,31,1,0,0.4
Masters 1000,Clay,1st Round,1905,18,966,54,1,31,1,0,0.6
Masters 1000,Clay,2nd Round,1905,18,767,74,1,31,1,0,0.4
Masters 1000,Clay,3rd Round,1905,18,1180,41,1,31,1,0,0.4
Masters 1000,Clay,Quarterfinals,1905,18,1665,24,1,31,1,0,0.6
Masters 1000,Clay,Semifinals,1905,18,7950,2,0,31,1,0,0.8
Grand Slam,Clay,1st Round,1665,22,421,134,1,31,1,1,0.8
Grand Slam,Clay,2nd Round,1665,22,356,155,1,31,1,1,0.8
Grand Slam,Clay,3rd Round,1665,22,2120,13,1,31,1,1,0.8
Grand Slam,Clay,4th Round,1665,22,1280,35,1,31,1,1,0.8
Grand Slam,Clay,Quarterfinals,1665,22,806,72,0,31,1,1,0.8
ATP500,Grass,1st Round,1665,22,901,63,1,31,1,0,0.8
ATP500,Grass,2nd Round,1665,22,4870,5,1,31,1,0,0.8
ATP500,Grass,Quarterfinals,1665,22,1535,26,1,31,1,0,0.8
ATP500,Grass,Semifinals,1665,22,910,61,1,31,1,0,0.8
ATP500,Grass,The Final,1665,22,4860,6,0,31,1,0,0.8
Grand Slam,Grass,1st Round,1715,21,923,57,1,31,1,1,0.8
Grand Slam,Grass,2nd Round,1715,21,438,126,1,31,1,1,0.8
Grand Slam,Grass,3rd Round,1715,21,1950,17,1,31,1,1,0.8
Grand Slam,Grass,4th Round,1715,21,1130,40,1,31,1,1,0.8
Grand Slam,Grass,Quarterfinals,1715,21,1530,28,1,31,1,1,0.8
Grand Slam,Grass,Semifinals,1715,21,8770,1,1,31,1,1,0.8
Grand Slam,Grass,The Final,1715,21,3635,8,1,31,1,1,1.0
Masters 1000,Hard,1st Round,3355,10,695,84,1,31,1,0,1.0
Masters 1000,Hard,2nd Round,3355,10,468,121,1,31,1,0,1.0
Masters 1000,Hard,3rd Round,3355,10,1534,27,0,31,1,0,1.0
Masters 1000,Hard,1st Round,3445,10,1235,33,1,31,1,0,1.0
Masters 1000,Hard,2nd Round,3445,10,1410,28,1,31,1,0,0.8
Masters 1000,Hard,3rd Round,3445,10,4700,5,1,31,1,0,0.8
Masters 1000,Hard,Quarterfinals,3445,10,1395,29,1,31,1,0,0.8
Masters 1000,Hard,Semifinals,3445,10,4085,7,1,31,1,0,0.8
Masters 1000,Hard,The Final,3445,10,6480,2,1,31,1,0,0.8
Grand Slam,Hard,1st Round,4445,6,1072,41,1,31,1,1,1.0
Grand Slam,Hard,2nd Round,4445,6,876,61,1,31,1,1,1.0
Grand Slam,Hard,3rd Round,4445,6,1535,25,1,31,1,1,1.0
Grand Slam,Hard,4th Round,4445,6,816,68,1,31,1,1,1.0
Grand Slam,Hard,Quarterfinals,4445,6,963,55,1,31,1,1,1.0
Grand Slam,Hard,Semifinals,4445,6,1755,19,1,31,1,1,1.0
Grand Slam,Hard,The Final,4445,6,5500,3,1,31,1,1,1.0
Masters 1000,Hard,2nd Round,6445,3,1100,41,1,31,1,0,1.0
Masters 1000,Hard,3rd Round,6445,3,1768,21,1,31,1,0,1.0
Masters 1000,Hard,Quarterfinals,6445,3,3640,8,1,31,1,0,1.0
Masters 1000,Hard,Semifinals,6445,3,4755,5,1,31,1,0,1.0
Masters 1000,Hard,The Final,6445,3,1815,19,1,31,1,0,1.0
Masters 1000,Hard,2nd Round,7445,2,1017,48,1,31,0,0,1.0
Masters 1000,Hard,Quarterfinals,7445,2,4050,7,1,31,0,0,1.0
Masters 1000,Hard,Semifinals,7445,2,6260,3,1,31,0,0,1.0
Masters 1000,Hard,The Final,7445,2,1845,18,0,31,0,0,1.0
Masters Cup,Hard,Round Robin,8045,1,3155,10,1,31,0,0,1.0
Masters Cup,Hard,Round Robin,8045,1,5085,5,1,31,0,0,0.8
Masters Cup,Hard,Round Robin,8045,1,4050,7,1,31,0,0,0.8
Masters Cup,Hard,Semifinals,8045,1,4310,6,1,31,0,0,0.8
Masters Cup,Hard,The Final,8045,1,5085,5,0,31,0,0,0.8
ATP250,Hard,1st Round,9045,1,985,47,1,32,1,0,0.8
ATP250,Hard,2nd Round,9045,1,1122,36,1,32,1,0,0.8
ATP250,Hard,Quarterfinals,9045,1,1795,21,1,32,1,0,0.8
ATP250,Hard,Semifinals,9045,1,1605,24,0,32,1,0,0.8
Grand Slam,Hard,1st Round,9135,1,216,230,1,32,1,1,0.8
Grand Slam,Hard,2nd Round,9135,1,290,177,1,32,1,1,0.6
Grand Slam,Hard,3rd Round,9135,1,1440,27,1,32,1,1,0.8
Grand Slam,Hard,4th Round,9135,1,1865,19,1,32,1,1,0.8
Grand Slam,Hard,Semifinals,9135,1,1245,31,1,32,1,1,0.8
Grand Slam,Hard,The Final,9135,1,7480,2,1,32,1,1,0.8
Masters 1000,Hard,2nd Round,10955,1,452,128,1,32,1,0,1.0
Masters 1000,Hard,3rd Round,10955,1,1160,39,0,32,1,0,1.0
Masters 1000,Hard,2nd Round,10990,1,679,81,1,32,1,0,1.0
Masters 1000,Hard,3rd Round,10990,1,676,83,1,32,1,0,0.8
Masters 1000,Hard,4th Round,10990,1,1510,25,0,32,1,0,0.8
Masters 1000,Clay,2nd Round,11070,1,1090,40,1,32,1,0,0.8
Masters 1000,Clay,3rd Round,11070,1,810,65,1,32,1,0,0.6
Masters 1000,Clay,Quarterfinals,11070,1,2295,14,0,32,1,0,0.6
Masters 1000,Clay,2nd Round,11160,1,900,57,1,32,1,0,0.8
Masters 1000,Clay,3rd Round,11160,1,970,47,1,32,1,0,0.6
Masters 1000,Clay,Semifinals,11160,1,5085,5,1,32,1,0,0.6
Masters 1000,Clay,The Final,11160,1,3190,9,1,32,1,0,0.8
Masters 1000,Clay,2nd Round,12115,1,1470,22,1,32,1,0,0.8
Masters 1000,Clay,3rd Round,12115,1,895,56,1,32,1,0,0.8
Masters 1000,Clay,Quarterfinals,12115,1,3145,9,1,32,1,0,1.0
Masters 1000,Clay,Semifinals,12115,1,1440,24,1,32,1,0,1.0
Masters 1000,Clay,The Final,12115,1,7945,2,0,32,1,0,1.0
Grand Slam,Clay,1st Round,12355,1,1040,44,1,32,1,1,1.0
Grand Slam,Clay,2nd Round,12355,1,548,104,1,32,1,1,0.8
Grand Slam,Clay,3rd Round,12355,1,388,147,1,32,1,1,0.8
Grand Slam,Clay,4th Round,12355,1,1035,45,1,32,1,1,0.8
Grand Slam,Clay,Quarterfinals,12355,1,4360,5,1,32,1,1,0.8
Grand Slam,Clay,Semifinals,12355,1,4685,4,0,32,1,1,0.8
Grand Slam,Grass,1st Round,12415,1,885,57,1,32,1,1,1.0
Grand Slam,Grass,2nd Round,12415,1,520,111,1,32,1,1,0.8
Grand Slam,Grass,3rd Round,12415,1,959,48,1,32,1,1,0.8
Grand Slam,Grass,4th Round,12415,1,822,66,1,32,1,1,0.8
Grand Slam,Grass,Quarterfinals,12415,1,1510,23,1,32,1,1,0.8
Grand Slam,Grass,Semifinals,12415,1,1600,22,1,32,1,1,0.8
Grand Slam,Grass,The Final,12415,1,6620,3,1,32,1,1,1.0
Masters 1000,Hard,2nd Round,12325,1,1035,45,1,32,1,0,1.0
Masters 1000,Hard,3rd Round,12325,1,962,53,1,32,1,0,1.0
Masters 1000,Hard,Quarterfinals,12325,1,1340,31,1,32,1,0,1.0
Masters 1000,Hard,Semifinals,12325,1,3230,8,0,32,1,0,1.0
Grand Slam,Hard,1st Round,11685,1,787,76,1,32,1,1,1.0
Grand Slam,Hard,2nd Round,11685,1,970,56,1,32,1,1,0.8
Grand Slam,Hard,3rd Round,11685,1,491,111,1,32,1,1,0.8
ATP500,Hard,1st Round,9865,1,596,94,1,32,1,0,0.8
ATP500,Hard,2nd Round,9865,1,412,133,1,32,1,0,0.8
ATP500,Hard,Quarterfinals,9865,1,1520,24,1,32,1,0,0.8
ATP500,Hard,Semifinals,9865,1,2055,15,1,32,1,0,1.0
ATP500,Hard,The Final,9865,1,691,80,1,32,1,0,1.0
Masters 1000,Hard,2nd Round,10365,1,1220,36,1,32,1,0,1.0
Masters 1000,Hard,3rd Round,10365,1,1895,17,1,32,1,0,1.0
Masters 1000,Hard,Quarterfinals,10365,1,3630,7,0,32,1,0,1.0
Masters 1000,Hard,2nd Round,9545,1,584,97,1,32,0,0,1.0
Masters 1000,Hard,3rd Round,9545,1,710,75,1,32,0,0,0.8
Masters 1000,Hard,Quarterfinals,9545,1,3830,7,1,32,0,0,0.8
Masters 1000,Hard,Semifinals,9545,1,1477,27,1,32,0,0,0.8
Masters 1000,Hard,The Final,9545,1,1460,28,1,32,0,0,0.8
Grand Slam,Hard,1st Round,9720,2,1270,37,1,33,1,1,0.8
Grand Slam,Hard,2nd Round,9720,2,362,146,1,33,1,1,1.0
Grand Slam,Hard,3rd Round,9720,2,797,71,1,33,1,1,1.0
Grand Slam,Hard,4th Round,9720,2,2130,14,1,33,1,1,1.0
Grand Slam,Hard,Quarterfinals,9720,2,1305,35,1,33,1,1,1.0
Grand Slam,Hard,Semifinals,9720,2,6590,3,1,33,1,1,1.0
Grand Slam,Hard,The Final,9720,2,5890,5,1,33,1,1,1.0
ATP500,Hard,2nd Round,9720,1,704,80,1,33,1,0,1.0
ATP500,Hard,Quarterfinals,9720,1,2040,17,1,33,1,0,1.0
ATP500,Hard,Semifinals,9720,1,2860,9,1,33,1,0,1.0
ATP500,Hard,The Final,9720,1,4745,6,1,33,1,0,1.0
Masters 1000,Hard,2nd Round,10220,1,739,72,1,33,1,0,1.0
Masters 1000,Hard,3rd Round,10220,1,923,55,1,33,1,0,1.0
Masters 1000,Hard,Quarterfinals,10220,1,1315,34,1,33,1,0,1.0
Masters 1000,Hard,Semifinals,10220,1,2360,12,1,33,1,0,1.0
Masters 1000,Hard,The Final,10220,1,1350,30,1,33,1,0,1.0
Grand Slam,Hard,1st Round,10860,1,524,109,1,33,1,1,1.0
Grand Slam,Hard,2nd Round,10860,1,1050,44,1,33,1,1,1.0
Grand Slam,Hard,3rd Round,10860,1,1405,29,1,33,1,1,1.0
Masters 1000,Clay,2nd Round,10860,1,703,87,1,33,1,0,1.0
Masters 1000,Clay,3rd Round,10860,1,1583,29,1,33,1,0,1.0
Masters 1000,Clay,Quarterfinals,10860,1,652,97,1,33,1,0,1.0
Masters 1000,Clay,Semifinals,10860,1,1359,34,1,33,1,0,1.0
Masters 1000,Clay,The Final,10860,1,2265,15,1,33,1,0,1.0
Grand Slam,Clay,1st Round,11260,1,763,80,1,33,1,1,1.0
Grand Slam,Clay,3rd Round,11260,1,379,153,1,33,1,1,1.0
Grand Slam,Clay,4th Round,11260,1,2200,16,1,33,1,1,1.0
Grand Slam,Clay,Quarterfinals,11260,1,2130,18,1,33,1,1,1.0
Grand Slam,Clay,Semifinals,11260,1,5385,6,1,33,1,1,1.0
Grand Slam,Clay,The Final,11260,1,9850,2,0,33,1,1,1.0
ATP500,Hard,1st Round,11740,1,1628,30,1,33,0,0,1.0
ATP500,Hard,2nd Round,11740,1,1820,24,1,33,0,0,0.8
ATP500,Hard,Quarterfinals,11740,1,1253,42,0,33,0,0,0.8
Masters Cup,Hard,Round Robin,11830,1,3455,9,1,33,0,0,0.8
Masters Cup,Hard,Round Robin,11830,1,6970,4,0,33,0,0,0.6
Masters Cup,Hard,Round Robin,11830,1,5525,7,1,33,0,0,0.6
Masters Cup,Hard,Semifinals,11830,1,9125,3,0,33,0,0,0.6
Grand Slam,Hard,1st Round,12030,1,1020,61,1,34,1,1,0.6
Grand Slam,Hard,3rd Round,12030,1,1695,31,1,34,1,1,0.4
Grand Slam,Hard,4th Round,12030,1,2630,14,1,34,1,1,0.6
Grand Slam,Hard,Quarterfinals,12030,1,5615,7,1,34,1,1,0.6
Grand Slam,Hard,Semifinals,12030,1,642,114,1,34,1,1,0.8
Grand Slam,Hard,The Final,12030,1,8715,4,1,34,1,1,0.8
Masters 1000,Clay,2nd Round,11963,1,2369,22,1,34,1,0,1.0
Masters 1000,Clay,3rd Round,11963,1,1825,33,0,34,1,0,1.0
ATP250,Clay,2nd Round,11873,1,910,85,1,34,1,0,1.0
ATP250,Clay,Quarterfinals,11873,1,1364,47,1,34,1,0,0.8
ATP250,Clay,Semifinals,11873,1,1946,28,0,34,1,0,0.8
Masters 1000,Clay,2nd Round,11463,1,1830,31,1,34,1,0,0.8
Masters 1000,Clay,3rd Round,11463,1,1328,48,1,34,1,0,0.6
Masters 1000,Clay,Quarterfinals,11463,1,7610,5,1,34,1,0,0.6
Masters 1000,Clay,Semifinals,11463,1,1817,33,1,34,1,0,0.8
Masters 1000,Clay,The Final,11463,1,9630,3,0,34,1,0,0.8
ATP250,Clay,2nd Round,11063,1,241,253,1,34,1,0,0.8
ATP250,Clay,Quarterfinals,11063,1,808,96,1,34,1,0,0.8
ATP250,Clay,Semifinals,11063,1,673,119,1,34,1,0,0.8
ATP250,Clay,The Final,11063,1,237,255,1,34,1,0,0.8
Grand Slam,Clay,2nd Round,11313,1,846,92,1,34,1,1,0.8
Grand Slam,Clay,Quarterfinals,11313,1,3958,9,1,34,1,1,0.8
Grand Slam,Clay,Semifinals,11313,1,9630,3,1,34,1,1,1.0
Grand Slam,Clay,The Final,11313,1,7500,5,1,34,1,1,1.0
Grand Slam,Grass,1st Round,12113,1,255,253,1,34,1,1,1.0
Grand Slam,Grass,2nd Round,12113,1,753,102,1,34,1,1,1.0
Grand Slam,Grass,3rd Round,12113,1,698,114,1,34,1,1,1.0
Grand Slam,Grass,4th Round,12113,1,2440,20,1,34,1,1,1.0
Grand Slam,Grass,Quarterfinals,12113,1,1344,48,1,34,1,1,1.0
Grand Slam,Grass,Semifinals,12113,1,2915,12,1,34,1,1,1.0
Grand Slam,Grass,The Final,12113,1,4468,9,1,34,1,1,1.0
Grand Slam,Hard,1st Round,11113,1,541,145,1,34,1,1,1.0
Grand Slam,Hard,2nd Round,11113,1,675,121,1,34,1,1,1.0
Grand Slam,Hard,3rd Round,11113,1,1208,56,1,34,1,1,1.0
Grand Slam,Hard,4th Round,11113,1,812,99,1,34,1,1,1.0
Grand Slam,Hard,Quarterfinals,11113,1,5533,8,1,34,1,1,1.0
Grand Slam,Hard,Semifinals,11113,1,8240,4,1,34,1,1,1.0
Grand Slam,Hard,The Final,11113,1,9980,2,0,34,1,1,1.0
Masters 1000,Hard,2nd Round,10340,1,1439,40,1,34,0,0,1.0
Masters 1000,Hard,Quarterfinals,10340,1,1890,26,1,34,0,0,0.8
Masters 1000,Hard,Semifinals,10340,1,3366,10,1,34,0,0,0.8
Masters 1000,Hard,The Final,10340,1,9540,2,1,34,0,0,0.8
Masters Cup,Hard,Round Robin,10940,1,3760,8,1,34,0,0,0.8
Masters Cup,Hard,Round Robin,10940,1,4950,5,1,34,0,0,0.8
Masters Cup,Hard,Round Robin,10940,1,2945,12,1,34,0,0,1.0
Masters Cup,Hard,Semifinals,10940,1,6540,3,0,34,0,0,1.0
ATP500,Hard,1st Round,8875,1,1010,58,1,35,1,0,1.0
ATP500,Hard,2nd Round,8875,1,1770,26,1,35,1,0,0.8
ATP500,Hard,Quarterfinals,8875,1,550,123,0,35,1,0,0.8
Masters 1000,Clay,2nd Round,8420,1,1095,46,0,35,1,0,0.8
ATP250,Clay,2nd Round,8340,1,991,50,1,35,1,0,0.6
ATP250,Clay,Quarterfinals,8340,1,1211,38,1,35,1,0,0.4
ATP250,Clay,Semifinals,8340,1,1566,26,1,35,1,0,0.6
ATP250,Clay,The Final,8340,1,3865,8,0,35,1,0,0.6
Masters 1000,Clay,2nd Round,8400,1,1745,21,1,35,1,0,0.6
Masters 1000,Clay,Quarterfinals,8400,1,3008,14,1,35,1,0,0.6
Masters 1000,Clay,Semifinals,8400,1,3818,9,0,35,1,0,0.8
Masters 1000,Clay,2nd Round,8260,1,1173,35,1,35,1,0,0.8
Masters 1000,Clay,3rd Round,8260,1,119,361,1,35,1,0,0.6
Masters 1000,Clay,Quarterfinals,8260,1,3760,9,1,35,1,0,0.6
Masters 1000,Clay,Semifinals,8260,1,3760,10,1,35,1,0,0.8
Masters 1000,Clay,The Final,8260,1,5750,5,1,35,1,0,0.8
Grand Slam,Clay,1st Round,8660,1,654,99,1,35,1,1,0.8
Grand Slam,Clay,2nd Round,8660,1,1163,38,1,35,1,1,1.0
Grand Slam,Clay,3rd Round,8660,1,291,195,1,35,1,1,1.0
Grand Slam,Clay,4th Round,8660,1,2505,16,1,35,1,1,1.0
Grand Slam,Clay,Quarterfinals,8660,1,5525,5,0,35,1,1,1.0
Grand Slam,Grass,1st Round,6770,3,698,81,1,35,1,1,1.0
Grand Slam,Grass,2nd Round,6770,3,728,79,1,35,1,1,0.8
Grand Slam,Grass,3rd Round,6770,3,1306,30,1,35,1,1,0.8
Grand Slam,Grass,4th Round,6770,3,546,104,1,35,1,1,0.8
Grand Slam,Grass,Quarterfinals,6770,3,3185,13,1,35,1,1,0.8
Grand Slam,Grass,Semifinals,6770,3,3200,12,1,35,1,1,0.8
Grand Slam,Grass,The Final,6770,3,1070,40,1,35,1,1,1.0
ATP250,Hard,2nd Round,3570,7,468,115,1,35,0,0,1.0
ATP250,Hard,Quarterfinals,3570,7,363,149,1,35,0,0,1.0
ATP250,Hard,Semifinals,3570,7,506,104,1,35,0,0,1.0
ATP250,Hard,The Final,3570,7,2345,16,1,35,0,0,1.0
ATP500,Hard,1st Round,3820,7,640,81,1,35,0,0,1.0
ATP500,Hard,2nd Round,3820,7,1233,34,1,35,0,0,1.0
ATP500,Hard,Quarterfinals,3820,7,1990,18,1,35,0,0,1.0
ATP500,Hard,The Final,3820,7,4810,6,1,35,0,0,1.0
Masters 1000,Hard,2nd Round,4320,7,1254,34,1,35,0,0,1.0
Masters 1000,Hard,3rd Round,4320,7,1945,19,1,35,0,0,1.0
Masters 1000,Hard,Quarterfinals,4320,7,1746,23,1,35,0,0,1.0
Masters 1000,Hard,Semifinals,4320,7,5035,5,1,35,0,0,1.0
Masters 1000,Hard,The Final,4320,7,1991,18,0,35,0,0,1.0
Masters Cup,Hard,Round Robin,3320,8,5350,3,1,35,0,0,1.0
Masters Cup,Hard,Round Robin,3320,8,3530,7,1,35,0,0,0.8
Masters Cup,Hard,Round Robin,3320,8,4065,5,1,35,0,0,0.8
Masters Cup,Hard,Semifinals,3320,8,2955,9,1,35,0,0,0.8
Masters Cup,Hard,The Final,3320,8,5020,4,1,35,0,0,0.8
ATP250,Hard,1st Round,4820,5,760,65,1,36,1,0,0.8
ATP250,Hard,2nd Round,4820,5,767,64,1,36,1,0,1.0
ATP250,Hard,Quarterfinals,4820,5,2075,18,1,36,1,0,1.0
ATP250,Hard,Semifinals,4820,5,4065,7,1,36,1,0,1.0
ATP250,Hard,The Final,4820,5,1175,33,1,36,1,0,1.0
