Odd_1,Odd_2
1.02,19.0
17.0,1.02
9.0,1.08
1.02,19.0
1.06,11.0
5.0,1.16
1.44,2.75
8.0,1.08
1.05,12.0
5.0,1.16
1.33,3.4
1.12,6.0
17.0,1.02
1.14,5.5
3.0,1.4
5.0,1.16
1.11,7.0
5.5,1.14
1.2,4.5
1.11,7.0
1.14,5.5
1.05,11.0
13.0,1.04
1.06,10.0
1.16,5.0
29.0,1.005
1.06,10.0
11.0,1.05
1.11,6.5
11.0,1.05
1.74,2.15
1.02,17.0
1.07,9.0
13.0,1.04
1.04,13.0
4.5,1.2
1.16,5.0
9.0,1.07
4.33,1.22
7.0,1.1
8.0,1.08
2.0,1.8
3.0,1.4
1.1,7.0
8.0,1.08
7.0,1.1
6.5,1.11
1.44,2.75
1.03,15.0
29.0,1.005
29.0,1.005
1.04,13.0
1.1,7.0
1.44,2.75
15.0,1.03
26.0,1.01
23.0,1.01
1.02,17.0
1.08,8.0
1.08,8.0
1.55,2.6
7.0,1.1
1.06,10.0
13.0,1.04
1.33,3.4
34.0,1.005
26.0,1.01
8.0,1.08
6.5,1.11
1.04,13.0
5.5,1.14
1.14,5.5
11.0,1.05
1.1,7.0
6.5,1.11
1.14,5.5
1.03,15.0
7.0,1.1
3.5,1.3
1.12,6.0
6.0,1.12
23.0,1.01
29.0,1.005
23.0,1.01
1.04,13.0
1.12,6.0
6.5,1.11
4.0,1.25
51.0,1.0
1.02,19.0
9.0,1.07
1.11,6.5
3.5,1.3
1.07,9.0
1.16,5.0
1.14,5.5
4.5,1.2
1.36,3.2
26.0,1.01
1.03,15.0
11.0,1.05
13.0,1.04
1.16,5.0
15.0,1.03
1.16,5.0
1.16,5.0
23.0,1.01
34.0,0.971
1.005,34.0
13.0,1.04
1.06,10.0
1.33,3.4
2.1,1.72
8.0,1.08
6.0,1.12
15.0,1.03
6.0,1.12
2.75,1.4
3.25,1.33
1.57,2.25
26.0,1.01
29.0,0.967
1.01,21.0
1.44,2.75
1.57,2.37
9.0,1.07
2.0,1.83
1.33,3.4
1.05,11.0
1.01,21.0
1.05,11.0
1.12,6.0
1.11,6.5
5.0,1.16
1.57,2.37
5.0,1.16
1.5,2.62
26.0,1.01
19.0,1.02
19.0,1.02
19.0,1.02
29.0,0.967
19.0,1.02
29.0,0.967
5.0,1.16
1.4,3.0
1.4,3.0
1.01,26.0
19.0,1.02
1.02,19.0
1.01,21.0
15.0,1.03
8.0,1.08
1.22,4.5
23.0,1.01
1.01,26.0
1.03,15.0
1.03,15.0
7.0,1.1
3.0,1.4
3.0,1.4
8.0,1.08
1.22,4.33
5.0,1.16
1.8,2.0
6.5,1.11
4.33,1.22
1.14,5.5
3.0,1.4
10.0,1.06
1.12,6.0
1.05,11.0
5.0,1.16
5.5,1.14
2.5,1.53
4.0,1.25
1.4,3.0
1.2,4.5
3.5,1.3
1.72,2.1
8.0,1.08
9.0,1.07
5.0,1.16
4.5,1.2
1.44,2.75
26.0,1.01
15.0,1.03
1.01,21.0
1.07,9.0
2.75,1.44
1.005,34.0
1.02,17.0
17.0,1.02
1.05,11.0
6.5,1.11
10.0,1.06
1.28,3.75
15.0,1.03
1.06,10.0
10.0,1.06
4.0,1.25
11.0,1.05
1.08,8.0
1.12,6.0
4.0,1.25
10.0,1.06
8.0,1.08
6.5,1.11
1.2,4.5
1.25,4.0
3.4,1.33
1.3,3.5
1.33,3.4
1.22,4.33
1.22,4.33
1.03,17.0
1.03,15.0
1.14,5.5
2.5,1.53
1.14,5.5
1.01,29.0
1.01,29.0
4.5,1.2
4.5,1.2
1.11,6.5
1.05,11.0
4.8,1.2
11.0,1.05
1.06,10.0
7.0,1.1
2.75,1.44
19.0,1.02
1.17,5.0
10.0,1.06
8.0,1.08
1.11,6.5
1.14,5.5
5.0,1.17
3.4,1.33
29.0,1.01
1.05,11.0
6.0,1.13
15.0,1.03
1.08,8.0
2.63,1.5
1.2,4.8
34.0,1.01
1.03,15.0
15.0,1.04
1.05,11.0
1.07,9.0
4.5,1.2
1.53,2.63
1.13,6.0
1.22,4.33
1.29,3.75
2.3,1.62
1.01,29.0
1.01,34.0
26.0,1.01
19.0,1.02
1.13,6.0
1.06,10.0
1.44,2.88
11.0,1.05
7.0,1.1
3.75,1.29
1.36,3.2
3.4,1.33
4.5,1.2
2.3,1.62
5.5,1.14
1.62,2.3
2.5,1.53
1.01,34.0
19.0,1.02
11.0,1.05
19.0,1.02
7.0,1.1
1.5,2.63
1.02,21.0
17.0,1.03
5.5,1.14
1.2,4.5
4.33,1.22
3.0,1.4
8.0,1.08
9.0,1.07
1.08,8.0
5.5,1.14
5.5,1.14
21.0,1.02
17.0,1.03
4.5,1.2
5.5,1.14
21.0,1.02
1.02,19.0
6.0,1.13
3.5,1.3
1.11,6.5
2.1,1.8
1.01,29.0
6.0,1.13
4.5,1.2
7.0,1.1
7.0,1.1
7.0,1.1
3.0,1.4
1.4,3.0
1.04,13.0
1.06,10.0
1.05,11.0
1.04,13.0
23.0,1.01
1.22,4.33
4.0,1.25
2.5,1.53
3.75,1.29
1.1,7.0
8.0,1.08
11.0,1.05
1.3,3.5
1.25,4.0
1.22,4.33
4.33,1.22
5.0,1.17
3.5,1.3
1.25,4.0
1.29,3.75
5.0,1.17
1.36,3.2
21.0,1.02
9.0,1.07
1.05,11.0
8.0,1.08
1.91,1.91
1.22,4.33
1.02,15.0
9.0,1.06
9.5,1.04
1.17,5.0
7.0,1.1
2.8,1.4
1.14,5.5
1.05,11.0
8.0,1.08
1.14,5.5
1.44,2.75
4.0,1.25
1.08,8.0
8.0,1.08
1.17,5.0
3.4,1.33
6.5,1.11
4.5,1.2
1.17,5.0
1.2,4.5
1.36,3.2
17.0,1.02
1.01,29.0
10.0,1.06
1.06,10.0
1.3,3.5
7.0,1.1
1.13,6.0
1.67,2.2
2.75,1.44
1.08,8.0
1.1,7.0
2.75,1.44
11.0,1.05
1.17,5.0
6.0,1.13
5.0,1.17
2.38,1.57
5.0,1.18
