dj_odds,opp_odds,dj_win
1.61,2.4,1
1.07,9.0,1
1.12,6.0,0
1.05,11.0,1
1.1,7.0,0
1.002,34.0,1
1.01,26.0,1
1.01,21.0,1
1.04,13.0,1
1.25,4.0,1
1.1,7.0,0
1.04,13.0,1
1.03,15.0,1
1.16,5.0,1
1.3,3.5,1
1.14,5.5,1
1.03,15.0,1
1.02,19.0,1
1.1,7.0,1
1.33,3.4,0
1.14,5.5,1
1.16,5.0,1
1.36,3.25,1
1.2,4.5,1
1.16,5.0,1
1.12,6.0,1
1.14,5.5,1
1.07,9.0,1
1.07,9.0,1
1.03,15.0,1
1.02,17.0,1
1.05,11.0,0
1.01,26.0,1
1.01,26.0,1
1.03,15.0,1
1.02,17.0,1
1.11,6.5,1
1.22,4.33,1
1.44,2.75,1
1.02,15.0,1
1.01,21.0,1
1.01,26.0,1
1.11,6.5,1
1.44,2.75,0
1.02,17.0,1
1.01,26.0,1
1.1,7.0,1
1.3,3.5,1
1.5,2.62,1
1.02,17.0,1
1.02,19.0,1
1.04,13.0,1
1.11,6.5,1
1.14,5.5,1
1.28,3.75,1
1.02,19.0,1
1.01,21.0,1
1.04,13.0,1
1.4,3.0,1
1.07,9.0,1
1.03,15.0,1
1.02,19.0,1
1.2,4.5,1
1.12,6.0,1
1.36,3.25,1
1.002,34.0,1
1.002,34.0,1
1.005,29.0,1
1.02,19.0,1
1.33,3.4,1
1.16,5.0,1
1.12,6.0,0
1.03,15.0,1
1.005,34.0,1
1.02,17.0,1
1.03,15.0,1
1.08,7.5,1
1.06,10.0,1
1.83,2.0,1
1.01,21.0,1
1.04,13.0,1
1.04,11.0,1
1.04,13.0,1
1.44,2.75,0
1.03,15.0,1
1.06,10.0,1
1.25,4.0,1
1.1,7.0,1
1.9,1.9,0
1.005,34.0,1
1.01,26.0,1
1.005,26.0,1
1.02,15.0,1
1.12,6.0,1
1.66,2.2,1
1.03,11.0,1
1.002,41.0,1
1.08,8.0,1
1.07,9.0,1
1.1,7.0,1
1.01,21.0,1
1.03,15.0,1
1.01,21.0,1
1.28,3.75,1
1.06,10.0,1
1.03,13.0,1
1.04,13.0,1
1.1,7.0,1
1.12,6.0,1
1.25,4.0,1
1.05,11.0,1
1.3,3.5,0
