Date,Series,Court,Surface,Round,Best of,Player_1,Player_2,Winner,Rank_1,Rank_2,Pts_1,Pts_2,Odd_1,Odd_2
2011-04-03,Masters 1000,Outdoor,Hard,The Final,3,Nadal R.,Djokovic N.,Djokovic N.,1,2,12630,8710,1.8,2.0
2011-04-27,ATP250,Outdoor,Clay,2nd Round,3,Ungur A.,Djokovic N.,Djokovic N.,182,2,327,9640,15.0,1.01
2011-04-29,ATP250,Outdoor,Clay,Quarterfinals,3,Kavcic B.,Djokovic N.,Djokovic N.,85,2,599,9640,21.0,1.005
2011-05-01,ATP250,Outdoor,Clay,The Final,3,Lopez F.,Djokovic N.,Djokovic N.,37,2,1095,9640,11.0,1.04
2011-05-04,Masters 1000,Outdoor,Clay,2nd Round,3,Djokovic N.,Anderson K.,Djokovic N.,2,35,9710,1150,1.02,12.0
2011-05-05,Masters 1000,Outdoor,Clay,3rd Round,3,Djokovic N.,Garcia-Lopez G.,Djokovic N.,2,29,9710,1285,1.05,9.0
2011-05-06,Masters 1000,Outdoor,Clay,Quarterfinals,3,Ferrer D.,Djokovic N.,Djokovic N.,6,2,4330,9710,3.5,1.3
2011-05-07,Masters 1000,Outdoor,Clay,Semifinals,3,Bellucci T.,Djokovic N.,Djokovic N.,36,2,1115,9710,7.5,1.08
2011-05-08,Masters 1000,Outdoor,Clay,The Final,3,Djokovic N.,Nadal R.,Djokovic N.,2,1,9710,11915,3.6,1.28
2011-05-11,Masters 1000,Outdoor,Clay,2nd Round,3,Kubot L.,Djokovic N.,Djokovic N.,141,2,418,10665,21.0,1.01
2011-05-12,Masters 1000,Outdoor,Clay,3rd Round,3,Wawrinka S.,Djokovic N.,Djokovic N.,14,2,1920,10665,9.0,1.05
2011-05-13,Masters 1000,Outdoor,Clay,Quarterfinals,3,Soderling R.,Djokovic N.,Djokovic N.,5,2,5265,10665,5.0,1.16
2011-05-14,Masters 1000,Outdoor,Clay,Semifinals,3,Murray A.,Djokovic N.,Djokovic N.,4,2,5905,10665,5.0,1.16
2011-05-15,Masters 1000,Outdoor,Clay,The Final,3,Djokovic N.,Nadal R.,Djokovic N.,2,1,10665,12470,2.75,1.44
2011-05-23,Grand Slam,Outdoor,Clay,1st Round,5,Djokovic N.,De Bakker T.,Djokovic N.,2,71,11665,710,1.01,21.0
2011-05-28,Grand Slam,Outdoor,Clay,3rd Round,5,Djokovic N.,Del Potro J.M.,Djokovic N.,2,26,11665,1355,1.12,5.5
2011-05-29,Grand Slam,Outdoor,Clay,4th Round,5,Gasquet R.,Djokovic N.,Djokovic N.,16,2,1755,11665,10.0,1.04
2011-06-03,Grand Slam,Outdoor,Clay,Semifinals,5,Djokovic N.,Federer R.,Federer R.,2,3,11665,8390,1.33,3.4
2011-06-21,Grand Slam,Outdoor,Grass,1st Round,5,Chardy J.,Djokovic N.,Djokovic N.,54,2,930,12005,15.0,1.01
2011-06-23,Grand Slam,Outdoor,Grass,2nd Round,5,Djokovic N.,Anderson K.,Djokovic N.,2,36,12005,1185,1.01,15.0
2011-06-25,Grand Slam,Outdoor,Grass,3rd Round,5,Djokovic N.,Baghdatis M.,Djokovic N.,2,30,12005,1295,1.02,12.0
2011-06-27,Grand Slam,Outdoor,Grass,4th Round,5,Llodra M.,Djokovic N.,Djokovic N.,35,2,1195,12005,9.0,1.06
2011-06-29,Grand Slam,Outdoor,Grass,Quarterfinals,5,Djokovic N.,Tomic B.,Djokovic N.,2,158,12005,357,1.07,8.0
2011-07-01,Grand Slam,Outdoor,Grass,Semifinals,5,Djokovic N.,Tsonga J.W.,Djokovic N.,2,19,12005,1585,1.44,2.75
2011-07-02,Grand Slam,Outdoor,Grass,The Final,5,Djokovic N.,Nadal R.,Djokovic N.,2,1,12005,12070,2.3,1.66
2011-08-10,Masters 1000,Outdoor,Hard,2nd Round,3,Davydenko N.,Djokovic N.,Djokovic N.,30,1,1295,12860,11.0,1.05
2011-08-11,Masters 1000,Outdoor,Hard,3rd Round,3,Djokovic N.,Cilic M.,Djokovic N.,1,29,12860,1295,1.1,7.0
2011-08-13,Masters 1000,Outdoor,Hard,Quarterfinals,3,Monfils G.,Djokovic N.,Djokovic N.,7,1,2905,12860,9.0,1.07
2011-08-14,Masters 1000,Outdoor,Hard,The Final,3,Fish M.,Djokovic N.,Djokovic N.,8,1,2505,12860,9.0,1.07
2011-08-18,Masters 1000,Outdoor,Hard,2nd Round,3,Harrison R.,Djokovic N.,Djokovic N.,78,1,667,13500,15.0,1.03
2011-08-18,Masters 1000,Outdoor,Hard,3rd Round,3,Djokovic N.,Stepanek R.,Djokovic N.,1,29,13500,1338,1.05,11.0
2011-08-20,Masters 1000,Outdoor,Hard,Quarterfinals,3,Djokovic N.,Monfils G.,Djokovic N.,1,8,13500,2995,1.06,10.0
2011-09-02,Grand Slam,Outdoor,Hard,2nd Round,5,Djokovic N.,Berlocq C.,Djokovic N.,1,74,13920,672,1.002,34.0
2011-09-04,Grand Slam,Outdoor,Hard,3rd Round,5,Davydenko N.,Djokovic N.,Djokovic N.,39,1,1115,13920,17.0,1.02
2011-09-05,Grand Slam,Outdoor,Hard,4th Round,5,Dolgopolov O.,Djokovic N.,Djokovic N.,23,1,1530,13920,19.0,1.02
2011-09-10,Grand Slam,Outdoor,Hard,Semifinals,5,Federer R.,Djokovic N.,Djokovic N.,3,1,8380,13920,2.5,1.53
2011-09-12,Grand Slam,Outdoor,Hard,The Final,5,Nadal R.,Djokovic N.,Djokovic N.,2,1,11420,13920,2.37,1.57
2011-11-01,ATP500,Indoor,Hard,1st Round,3,Malisse X.,Djokovic N.,Djokovic N.,47,1,910,13860,13.0,1.04
2011-11-03,ATP500,Indoor,Hard,2nd Round,3,Kubot L.,Djokovic N.,Djokovic N.,64,1,747,13860,17.0,1.02
2011-11-04,ATP500,Indoor,Hard,Quarterfinals,3,Baghdatis M.,Djokovic N.,Djokovic N.,59,1,805,13860,11.0,1.05
2011-11-05,ATP500,Indoor,Hard,Semifinals,3,Nishikori K.,Djokovic N.,Nishikori K.,32,1,1225,13860,11.0,1.05
2011-11-09,Masters 1000,Indoor,Hard,2nd Round,3,Dodig I.,Djokovic N.,Djokovic N.,39,1,1035,13785,3.75,1.25
2011-11-10,Masters 1000,Indoor,Hard,3rd Round,3,Djokovic N.,Troicki V.,Djokovic N.,1,19,13785,1730,1.22,4.0
2011-11-21,Masters Cup,Indoor,Hard,Round Robin,3,Djokovic N.,Berdych T.,Djokovic N.,1,7,13475,3300,1.3,3.4
2011-11-23,Masters Cup,Indoor,Hard,Round Robin,3,Ferrer D.,Djokovic N.,Ferrer D.,5,1,4480,13475,3.6,1.28
2011-11-25,Masters Cup,Indoor,Hard,Round Robin,3,Djokovic N.,Tipsarevic J.,Tipsarevic J.,1,9,13475,2395,1.3,3.5
2012-01-19,Grand Slam,Outdoor,Hard,2nd Round,5,Djokovic N.,Giraldo S.,Djokovic N.,1,56,13630,845,1.002,34.0
2012-01-21,Grand Slam,Outdoor,Hard,3rd Round,5,Djokovic N.,Mahut N.,Djokovic N.,1,81,13630,653,1.002,34.0
2012-01-23,Grand Slam,Outdoor,Hard,4th Round,5,Djokovic N.,Hewitt L.,Djokovic N.,1,181,13630,265,1.01,21.0
2012-01-25,Grand Slam,Outdoor,Hard,Quarterfinals,5,Djokovic N.,Ferrer D.,Djokovic N.,1,5,13630,4925,1.1,8.0
2012-01-27,Grand Slam,Outdoor,Hard,Semifinals,5,Djokovic N.,Murray A.,Djokovic N.,1,4,13630,7380,1.36,3.3
2012-01-29,Grand Slam,Outdoor,Hard,The Final,5,Nadal R.,Djokovic N.,Djokovic N.,2,1,9595,13630,2.3,1.66
2012-02-27,ATP500,Outdoor,Hard,1st Round,3,Djokovic N.,Stebe C.M.,Djokovic N.,1,72,13130,678,1.01,26.0
2012-02-29,ATP500,Outdoor,Hard,2nd Round,3,Stakhovsky S.,Djokovic N.,Djokovic N.,74,1,665,13130,26.0,1.01
2012-03-01,ATP500,Outdoor,Hard,Quarterfinals,3,Tipsarevic J.,Djokovic N.,Djokovic N.,9,1,2710,13130,7.0,1.1
2012-03-02,ATP500,Outdoor,Hard,Semifinals,3,Djokovic N.,Murray A.,Murray A.,1,4,13130,7150,1.33,3.4
2012-03-10,Masters 1000,Outdoor,Hard,2nd Round,3,Djokovic N.,Golubev A.,Djokovic N.,1,145,13310,372,1.01,23.0
2012-03-12,Masters 1000,Outdoor,Hard,3rd Round,3,Djokovic N.,Anderson K.,Djokovic N.,1,30,13310,1270,1.04,13.0
2012-03-14,Masters 1000,Outdoor,Hard,4th Round,3,Andujar P.,Djokovic N.,Djokovic N.,45,1,1000,13310,26.0,1.01
2012-03-15,Masters 1000,Outdoor,Hard,Quarterfinals,3,Djokovic N.,Almagro N.,Djokovic N.,1,12,13310,2070,1.08,8.0
2012-03-17,Masters 1000,Outdoor,Hard,Semifinals,3,Isner J.,Djokovic N.,Isner J.,11,1,2120,13310,7.0,1.1
2012-03-25,Masters 1000,Outdoor,Hard,2nd Round,3,Djokovic N.,Baghdatis M.,Djokovic N.,1,42,12670,1010,1.07,9.0
2012-03-26,Masters 1000,Outdoor,Hard,3rd Round,3,Djokovic N.,Troicki V.,Djokovic N.,1,27,12670,1340,1.03,15.0
2012-03-27,Masters 1000,Outdoor,Hard,4th Round,3,Gasquet R.,Djokovic N.,Djokovic N.,17,1,1595,12670,11.0,1.05
2012-03-30,Masters 1000,Outdoor,Hard,Quarterfinals,3,Ferrer D.,Djokovic N.,Djokovic N.,5,1,4700,12670,4.33,1.22
2012-03-31,Masters 1000,Outdoor,Hard,Semifinals,3,Djokovic N.,Monaco J.,Djokovic N.,1,21,12670,1495,1.05,11.0
2012-04-01,Masters 1000,Outdoor,Hard,The Final,3,Murray A.,Djokovic N.,Djokovic N.,4,1,7450,12670,2.9,1.41
2012-04-18,Masters 1000,Outdoor,Clay,2nd Round,3,Djokovic N.,Seppi A.,Djokovic N.,1,44,12670,980,1.01,21.0
2012-04-19,Masters 1000,Outdoor,Clay,3rd Round,3,Djokovic N.,Dolgopolov O.,Djokovic N.,1,21,12670,1495,1.08,8.0
2012-04-20,Masters 1000,Outdoor,Clay,Quarterfinals,3,Haase R.,Djokovic N.,Djokovic N.,55,1,821,12670,13.0,1.04
2012-04-21,Masters 1000,Outdoor,Clay,Semifinals,3,Djokovic N.,Berdych T.,Djokovic N.,1,7,12670,3810,1.28,3.75
2012-04-22,Masters 1000,Outdoor,Clay,The Final,3,Nadal R.,Djokovic N.,Nadal R.,2,1,9215,12670,1.72,2.1
2012-05-08,Masters 1000,Outdoor,Clay,2nd Round,3,Djokovic N.,Gimeno-Traver D.,Djokovic N.,1,137,12020,399,1.01,26.0
2012-05-10,Masters 1000,Outdoor,Clay,3rd Round,3,Djokovic N.,Wawrinka S.,Djokovic N.,1,21,12020,1505,1.16,5.0
2012-05-11,Masters 1000,Outdoor,Clay,Quarterfinals,3,Tipsarevic J.,Djokovic N.,Tipsarevic J.,8,1,2820,12020,7.0,1.1
2012-05-15,Masters 1000,Outdoor,Clay,2nd Round,3,Djokovic N.,Tomic B.,Djokovic N.,1,32,11200,1215,1.03,15.0
2012-05-17,Masters 1000,Outdoor,Clay,3rd Round,3,Monaco J.,Djokovic N.,Djokovic N.,15,1,1925,11200,8.0,1.08
2012-05-18,Masters 1000,Outdoor,Clay,Quarterfinals,3,Djokovic N.,Tsonga J.W.,Djokovic N.,1,5,11200,4930,1.16,5.0
2012-05-19,Masters 1000,Outdoor,Clay,Semifinals,3,Federer R.,Djokovic N.,Djokovic N.,2,1,9430,11200,1.95,1.85
2012-05-21,Masters 1000,Outdoor,Clay,The Final,3,Nadal R.,Djokovic N.,Nadal R.,3,1,9105,11200,1.61,2.25
2012-05-28,Grand Slam,Outdoor,Clay,1st Round,5,Starace P.,Djokovic N.,Djokovic N.,97,1,558,11800,34.0,1.002
2012-06-03,Grand Slam,Outdoor,Clay,4th Round,5,Seppi A.,Djokovic N.,Djokovic N.,25,1,1355,11800,19.0,1.02
2012-06-05,Grand Slam,Outdoor,Clay,Quarterfinals,5,Tsonga J.W.,Djokovic N.,Djokovic N.,5,1,4965,11800,5.0,1.16
2012-06-08,Grand Slam,Outdoor,Clay,Semifinals,5,Djokovic N.,Federer R.,Djokovic N.,1,3,11800,9790,1.53,2.5
2012-06-10,Grand Slam,Outdoor,Clay,The Final,5,Djokovic N.,Nadal R.,Nadal R.,1,2,11800,10060,4.33,1.25
2012-06-25,Grand Slam,Outdoor,Grass,1st Round,5,Ferrero J.C.,Djokovic N.,Djokovic N.,38,1,1035,12280,23.0,1.01
2012-06-27,Grand Slam,Outdoor,Grass,2nd Round,5,Djokovic N.,Harrison R.,Djokovic N.,1,48,12280,871,1.01,21.0
2012-06-29,Grand Slam,Outdoor,Grass,3rd Round,5,Stepanek R.,Djokovic N.,Djokovic N.,27,1,1340,12280,23.0,1.01
2012-07-02,Grand Slam,Outdoor,Grass,4th Round,5,Djokovic N.,Troicki V.,Djokovic N.,1,34,12280,1190,1.02,19.0
2012-07-04,Grand Slam,Outdoor,Grass,Quarterfinals,5,Djokovic N.,Mayer F.,Djokovic N.,1,29,12280,1230,1.02,17.0
2012-07-06,Grand Slam,Outdoor,Grass,Semifinals,5,Federer R.,Djokovic N.,Federer R.,3,1,9435,12280,2.87,1.44
2012-08-09,Masters 1000,Outdoor,Hard,2nd Round,3,Djokovic N.,Tomic B.,Djokovic N.,2,49,11270,880,1.07,9.0
2012-08-10,Masters 1000,Outdoor,Hard,3rd Round,3,Querrey S.,Djokovic N.,Djokovic N.,35,2,1189,11270,7.0,1.1
2012-08-11,Masters 1000,Outdoor,Hard,Quarterfinals,3,Djokovic N.,Haas T.,Djokovic N.,2,25,11270,1418,1.1,7.0
2012-08-12,Masters 1000,Outdoor,Hard,Semifinals,3,Tipsarevic J.,Djokovic N.,Djokovic N.,9,2,3320,11270,5.0,1.16
2012-08-13,Masters 1000,Outdoor,Hard,The Final,3,Djokovic N.,Gasquet R.,Djokovic N.,2,21,11270,1600,1.11,6.5
2012-08-15,Masters 1000,Outdoor,Hard,2nd Round,3,Seppi A.,Djokovic N.,Djokovic N.,27,2,1355,11270,13.0,1.04
2012-08-17,Masters 1000,Outdoor,Hard,Quarterfinals,3,Djokovic N.,Cilic M.,Djokovic N.,2,15,11270,2015,1.08,8.0
2012-08-18,Masters 1000,Outdoor,Hard,Semifinals,3,Del Potro J.M.,Djokovic N.,Djokovic N.,9,2,3305,11270,4.0,1.25
2012-08-19,Masters 1000,Outdoor,Hard,The Final,3,Djokovic N.,Federer R.,Federer R.,2,1,11270,11345,1.53,2.5
2012-08-29,Grand Slam,Outdoor,Hard,1st Round,5,Djokovic N.,Lorenzi P.,Djokovic N.,2,69,11270,674,1.002,34.0
2012-09-02,Grand Slam,Outdoor,Hard,3rd Round,5,Benneteau J.,Djokovic N.,Djokovic N.,35,2,1075,11270,21.0,1.01
2012-09-07,Grand Slam,Outdoor,Hard,Quarterfinals,5,Del Potro J.M.,Djokovic N.,Djokovic N.,8,2,3620,11270,6.0,1.12
2012-09-09,Grand Slam,Outdoor,Hard,Semifinals,5,Ferrer D.,Djokovic N.,Djokovic N.,5,2,5375,11270,9.0,1.07
2012-09-10,Grand Slam,Outdoor,Hard,The Final,5,Murray A.,Djokovic N.,Murray A.,4,2,7290,11270,2.87,1.44
2012-10-02,ATP500,Outdoor,Hard,1st Round,3,Djokovic N.,Berrer M.,Djokovic N.,2,123,10470,466,1.01,26.0
2012-10-03,ATP500,Outdoor,Hard,2nd Round,3,Berlocq C.,Djokovic N.,Djokovic N.,50,2,880,10470,26.0,1.01
2012-10-05,ATP500,Outdoor,Hard,Quarterfinals,3,Melzer J.,Djokovic N.,Djokovic N.,37,2,997,10470,17.0,1.02
2012-10-06,ATP500,Outdoor,Hard,Semifinals,3,Djokovic N.,Mayer F.,Djokovic N.,2,29,10470,1295,1.02,17.0
2012-10-07,ATP500,Outdoor,Hard,The Final,3,Tsonga J.W.,Djokovic N.,Djokovic N.,7,2,4520,10470,4.5,1.18
2012-10-10,Masters 1000,Outdoor,Hard,2nd Round,3,Djokovic N.,Dimitrov G.,Djokovic N.,2,56,10970,751,1.02,17.0
2012-10-11,Masters 1000,Outdoor,Hard,3rd Round,3,Lopez F.,Djokovic N.,Djokovic N.,29,2,1355,10970,17.0,1.02
2012-10-12,Masters 1000,Outdoor,Hard,Quarterfinals,3,Haas T.,Djokovic N.,Djokovic N.,21,2,1553,10970,10.0,1.06
2012-10-13,Masters 1000,Outdoor,Hard,Semifinals,3,Berdych T.,Djokovic N.,Djokovic N.,7,2,4570,10970,5.5,1.14
2012-10-14,Masters 1000,Outdoor,Hard,The Final,3,Murray A.,Djokovic N.,Djokovic N.,3,2,8090,10970,2.37,1.57
2012-10-31,Masters 1000,Indoor,Hard,2nd Round,3,Querrey S.,Djokovic N.,Querrey S.,23,2,1560,11970,8.0,1.08
2012-11-05,Masters Cup,Indoor,Hard,Round Robin,3,Djokovic N.,Tsonga J.W.,Djokovic N.,1,8,11420,3490,1.25,4.0
2012-11-07,Masters Cup,Indoor,Hard,Round Robin,3,Murray A.,Djokovic N.,Djokovic N.,3,1,7600,11420,2.0,1.8
2012-11-09,Masters Cup,Indoor,Hard,Round Robin,3,Berdych T.,Djokovic N.,Djokovic N.,6,1,4405,11420,4.5,1.18
2012-11-11,Masters Cup,Indoor,Hard,Semifinals,3,Del Potro J.M.,Djokovic N.,Djokovic N.,7,1,4080,11420,5.0,1.16
2012-11-12,Masters Cup,Indoor,Hard,The Final,3,Federer R.,Djokovic N.,Djokovic N.,2,1,9465,11420,2.3,1.61
2013-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Djokovic N.,Mathieu P.H.,Djokovic N.,1,60,12920,763,1.002,29.0
2013-01-16,Grand Slam,Outdoor,Hard,2nd Round,5,Harrison R.,Djokovic N.,Djokovic N.,62,1,754,12920,34.0,1.002
2013-01-20,Grand Slam,Outdoor,Hard,4th Round,5,Djokovic N.,Wawrinka S.,Djokovic N.,1,17,12920,1900,1.02,19.0
2013-01-22,Grand Slam,Outdoor,Hard,Quarterfinals,5,Djokovic N.,Berdych T.,Djokovic N.,1,6,12920,4680,1.16,5.0
2013-01-24,Grand Slam,Outdoor,Hard,Semifinals,5,Ferrer D.,Djokovic N.,Djokovic N.,5,1,6505,12920,8.0,1.08
2013-01-27,Grand Slam,Outdoor,Hard,The Final,5,Murray A.,Djokovic N.,Djokovic N.,3,1,8000,12920,2.62,1.53
2013-02-26,ATP500,Outdoor,Hard,1st Round,3,Troicki V.,Djokovic N.,Djokovic N.,44,1,925,12960,19.0,1.02
2013-02-27,ATP500,Outdoor,Hard,2nd Round,3,Djokovic N.,Bautista R.,Djokovic N.,1,55,12960,788,1.01,26.0
2013-02-28,ATP500,Outdoor,Hard,Quarterfinals,3,Seppi A.,Djokovic N.,Djokovic N.,20,1,1730,12960,17.0,1.02
2013-03-01,ATP500,Outdoor,Hard,Semifinals,3,Del Potro J.M.,Djokovic N.,Djokovic N.,7,1,4410,12960,7.0,1.1
2013-03-02,ATP500,Outdoor,Hard,The Final,3,Berdych T.,Djokovic N.,Djokovic N.,6,1,4545,12960,6.5,1.11
2013-03-11,Masters 1000,Outdoor,Hard,2nd Round,3,Fognini F.,Djokovic N.,Djokovic N.,36,1,1065,13280,29.0,1.002
2013-03-12,Masters 1000,Outdoor,Hard,3rd Round,3,Djokovic N.,Dimitrov G.,Djokovic N.,1,31,13280,1137,1.02,17.0
2013-03-14,Masters 1000,Outdoor,Hard,4th Round,3,Querrey S.,Djokovic N.,Djokovic N.,23,1,1695,13280,13.0,1.04
2013-03-15,Masters 1000,Outdoor,Hard,Quarterfinals,3,Djokovic N.,Tsonga J.W.,Djokovic N.,1,8,13280,3660,1.08,8.0
2013-03-16,Masters 1000,Outdoor,Hard,Semifinals,3,Djokovic N.,Del Potro J.M.,Del Potro J.M.,1,7,13280,4410,1.11,6.5
2013-03-23,Masters 1000,Outdoor,Hard,2nd Round,3,Rosol L.,Djokovic N.,Djokovic N.,64,1,749,13280,26.0,1.01
2013-03-24,Masters 1000,Outdoor,Hard,3rd Round,3,Devvarman S.,Djokovic N.,Djokovic N.,254,1,182,13280,34.0,1.002
2013-03-27,Masters 1000,Outdoor,Hard,4th Round,3,Haas T.,Djokovic N.,Haas T.,18,1,1925,13280,11.0,1.05
2013-04-17,Masters 1000,Outdoor,Clay,2nd Round,3,Djokovic N.,Youzhny M.,Djokovic N.,1,27,12500,1220,1.06,10.0
2013-04-18,Masters 1000,Outdoor,Clay,3rd Round,3,Djokovic N.,Monaco J.,Djokovic N.,1,20,12500,1740,1.1,7.0
2013-04-19,Masters 1000,Outdoor,Clay,Quarterfinals,3,Nieminen J.,Djokovic N.,Djokovic N.,49,1,860,12500,6.5,1.11
2013-04-20,Masters 1000,Outdoor,Clay,Semifinals,3,Fognini F.,Djokovic N.,Djokovic N.,32,1,1135,12500,6.0,1.12
2013-04-21,Masters 1000,Outdoor,Clay,The Final,3,Djokovic N.,Nadal R.,Djokovic N.,1,5,12500,6385,2.87,1.4
2013-05-07,Masters 1000,Outdoor,Clay,2nd Round,3,Djokovic N.,Dimitrov G.,Dimitrov G.,1,28,12900,1272,1.05,11.0
2013-05-14,Masters 1000,Outdoor,Clay,2nd Round,3,Djokovic N.,Montanes A.,Djokovic N.,1,89,12730,573,1.01,21.0
2013-05-16,Masters 1000,Outdoor,Clay,3rd Round,3,Djokovic N.,Dolgopolov O.,Djokovic N.,1,23,12730,1420,1.06,10.0
2013-05-17,Masters 1000,Outdoor,Clay,Quarterfinals,3,Djokovic N.,Berdych T.,Berdych T.,1,6,12730,4520,1.12,6.0
2013-05-28,Grand Slam,Outdoor,Clay,1st Round,5,Djokovic N.,Goffin D.,Djokovic N.,1,58,12310,797,1.002,29.0
2013-06-01,Grand Slam,Outdoor,Clay,3rd Round,5,Djokovic N.,Dimitrov G.,Djokovic N.,1,28,12310,1355,1.07,9.0
2013-06-03,Grand Slam,Outdoor,Clay,4th Round,5,Kohlschreiber P.,Djokovic N.,Djokovic N.,19,1,1750,12310,15.0,1.03
2013-06-05,Grand Slam,Outdoor,Clay,Quarterfinals,5,Djokovic N.,Haas T.,Djokovic N.,1,14,12310,2340,1.08,8.0
2013-06-07,Grand Slam,Outdoor,Clay,Semifinals,5,Nadal R.,Djokovic N.,Nadal R.,4,1,6895,12310,1.61,2.3
2013-06-25,Grand Slam,Outdoor,Grass,1st Round,5,Djokovic N.,Mayer F.,Djokovic N.,1,34,11830,1175,1.01,26.0
2013-06-27,Grand Slam,Outdoor,Grass,2nd Round,5,Reynolds B.,Djokovic N.,Djokovic N.,156,1,346,11830,29.0,1.002
2013-06-29,Grand Slam,Outdoor,Grass,3rd Round,3,Chardy J.,Djokovic N.,Djokovic N.,25,1,1441,11830,19.0,1.02
2013-07-01,Grand Slam,Outdoor,Grass,4th Round,5,Haas T.,Djokovic N.,Djokovic N.,13,1,2425,11830,7.0,1.1
2013-07-03,Grand Slam,Outdoor,Grass,Quarterfinals,5,Djokovic N.,Berdych T.,Djokovic N.,1,6,11830,4515,1.1,7.0
2013-07-05,Grand Slam,Outdoor,Grass,Semifinals,5,Djokovic N.,Del Potro J.M.,Djokovic N.,1,8,11830,3960,1.16,5.0
2013-07-07,Grand Slam,Outdoor,Grass,The Final,5,Murray A.,Djokovic N.,Murray A.,2,1,8560,11830,2.5,1.57
2013-08-07,Masters 1000,Outdoor,Hard,2nd Round,3,Djokovic N.,Mayer F.,Djokovic N.,1,50,12040,905,1.03,15.0
2013-08-09,Masters 1000,Outdoor,Hard,3rd Round,3,Istomin D.,Djokovic N.,Djokovic N.,66,1,720,12040,17.0,1.02
2013-08-09,Masters 1000,Outdoor,Hard,Quarterfinals,3,Gasquet R.,Djokovic N.,Djokovic N.,9,1,3045,12040,6.5,1.11
2013-08-11,Masters 1000,Outdoor,Hard,Semifinals,3,Nadal R.,Djokovic N.,Nadal R.,4,1,6860,12040,3.0,1.4
2013-08-14,Masters 1000,Outdoor,Hard,2nd Round,3,Djokovic N.,Monaco J.,Djokovic N.,1,32,11400,1240,1.03,15.0
2013-08-15,Masters 1000,Outdoor,Hard,3rd Round,3,Goffin D.,Djokovic N.,Djokovic N.,80,1,631,11400,19.0,1.02
2013-08-16,Masters 1000,Outdoor,Hard,Quarterfinals,3,Isner J.,Djokovic N.,Isner J.,22,1,1585,11400,7.0,1.1
2013-08-28,Grand Slam,Outdoor,Hard,1st Round,5,Djokovic N.,Berankis R.,Djokovic N.,1,112,10980,499,1.002,34.0
2013-08-30,Grand Slam,Outdoor,Hard,2nd Round,5,Becker B.,Djokovic N.,Djokovic N.,87,1,603,10980,34.0,1.002
2013-09-03,Grand Slam,Outdoor,Hard,4th Round,5,Djokovic N.,Granollers M.,Djokovic N.,1,43,10980,975,1.01,26.0
2013-09-06,Grand Slam,Outdoor,Hard,Quarterfinals,5,Djokovic N.,Youzhny M.,Djokovic N.,1,24,10980,1475,1.02,17.0
2013-09-07,Grand Slam,Outdoor,Hard,Semifinals,5,Wawrinka S.,Djokovic N.,Djokovic N.,10,1,2610,10980,5.5,1.14
2013-09-09,Grand Slam,Outdoor,Hard,The Final,5,Djokovic N.,Nadal R.,Nadal R.,1,2,10980,8860,2.2,1.66
2013-10-01,ATP500,Outdoor,Hard,1st Round,3,Rosol L.,Djokovic N.,Djokovic N.,46,1,951,11120,21.0,1.01
2013-10-03,ATP500,Outdoor,Hard,2nd Round,3,Verdasco F.,Djokovic N.,Djokovic N.,31,1,1210,11120,13.0,1.04
2013-10-04,ATP500,Outdoor,Hard,Quarterfinals,3,Querrey S.,Djokovic N.,Djokovic N.,30,1,1265,11120,11.0,1.05
2013-10-05,ATP500,Outdoor,Hard,Semifinals,3,Djokovic N.,Gasquet R.,Djokovic N.,1,10,11120,3005,1.1,7.0
2013-10-06,ATP500,Outdoor,Hard,The Final,3,Nadal R.,Djokovic N.,Djokovic N.,2,1,10860,11120,2.1,1.72
2013-10-09,Masters 1000,Outdoor,Hard,2nd Round,3,Granollers M.,Djokovic N.,Djokovic N.,36,2,1110,11120,21.0,1.01
2013-10-10,Masters 1000,Outdoor,Hard,3rd Round,3,Fognini F.,Djokovic N.,Djokovic N.,17,2,1885,11120,10.0,1.06
2013-10-11,Masters 1000,Outdoor,Hard,Quarterfinals,3,Djokovic N.,Monfils G.,Djokovic N.,2,42,11120,1050,1.1,7.0
2013-10-12,Masters 1000,Outdoor,Hard,Semifinals,3,Djokovic N.,Tsonga J.W.,Djokovic N.,2,9,11120,3115,1.14,5.5
2013-10-13,Masters 1000,Outdoor,Hard,The Final,3,Djokovic N.,Del Potro J.M.,Djokovic N.,2,5,11120,4925,1.33,3.4
2013-10-29,Masters 1000,Indoor,Hard,2nd Round,3,Herbert P.H.,Djokovic N.,Djokovic N.,189,2,262,11120,23.0,1.01
2013-10-31,Masters 1000,Indoor,Hard,3rd Round,3,Djokovic N.,Isner J.,Djokovic N.,2,16,11120,2070,1.14,5.5
2013-11-01,Masters 1000,Indoor,Hard,Quarterfinals,3,Djokovic N.,Wawrinka S.,Djokovic N.,2,8,11120,3240,1.14,5.5
2013-11-02,Masters 1000,Indoor,Hard,Semifinals,3,Djokovic N.,Federer R.,Djokovic N.,2,6,11120,4245,1.28,3.75
2013-11-03,Masters 1000,Indoor,Hard,The Final,3,Djokovic N.,Ferrer D.,Djokovic N.,2,3,11120,6600,1.12,6.0
2013-11-05,Masters Cup,Indoor,Hard,Round Robin,3,Djokovic N.,Federer R.,Djokovic N.,2,7,10610,3805,1.28,3.75
2013-11-07,Masters Cup,Indoor,Hard,Round Robin,3,Djokovic N.,Del Potro J.M.,Djokovic N.,2,5,10610,5055,1.28,3.75
