dj_pts,dj_rank,opp_pts,opp_rank,dj_win,age,is_outdoor,is_five_sets,5SMA,ATP250,ATP500,Grand Slam,International,International Gold,Masters,Masters 1000,Masters Cup,Carpet,Clay,Grass,Hard,1st Round,2nd Round,3rd Round,4th Round,Quarterfinals,Round Robin,Semifinals,The Final
1715,13,4480,2,0,20,1,1,0.8,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
2060,10,485,82,1,20,1,0,1.0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
2060,10,514,76,1,20,1,0,0.8,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
2060,10,481,84,1,20,1,0,0.8,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
2060,10,4755,2,1,20,1,0,0.8,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
2060,10,1905,12,1,20,1,0,0.8,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2060,10,652,55,1,20,1,1,0.8,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
2540,7,740,45,1,20,1,0,1.0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
2540,7,1615,16,0,20,1,0,1.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
2595,5,230,177,1,20,1,0,1.0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
2595,5,164,232,1,20,1,0,0.8,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
2595,5,609,62,1,20,1,0,0.8,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
2595,5,2445,7,1,20,1,0,0.8,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
2595,5,1745,15,1,20,1,0,0.8,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2720,5,1053,27,1,20,1,0,0.8,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
2720,5,1335,18,1,20,1,0,1.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
2720,5,4875,2,0,20,1,0,1.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
2735,6,822,38,1,20,1,0,1.0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
2735,6,1170,23,1,20,1,0,0.8,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
2735,6,860,36,0,20,1,0,0.8,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
2810,6,341,123,1,20,1,1,0.8,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
2810,6,115,306,1,20,1,1,0.6,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
2810,6,337,129,1,20,1,1,0.6,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
2810,6,695,51,1,20,1,1,0.8,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
2810,6,340,125,1,20,1,1,0.8,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
2810,6,5225,2,0,20,1,1,0.8,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
3010,4,481,86,1,20,1,0,1.0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
3010,4,745,43,0,20,1,0,0.8,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
3010,5,716,47,1,20,1,1,0.8,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
3010,5,560,67,1,20,1,1,0.6,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
3010,5,6,1065,1,20,1,1,0.6,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
3010,5,1330,19,1,20,1,1,0.6,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
3010,5,1570,16,1,20,1,1,0.8,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
3245,3,223,182,1,20,1,0,0.8,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
3245,3,230,176,0,20,1,0,1.0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
3200,4,150,254,1,20,1,0,1.0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
3200,4,1115,26,1,20,1,0,0.8,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
