dj_pts,dj_rank,dj_odds,opp_pts,opp_rank,opp_odds,dj_win,age_c,age_c_sq,is_outdoor,is_five_sets,5SMA,ATP500,Grand Slam,Masters 1000,Masters Cup,Clay,Grass,2nd Round,3rd Round,4th Round,Quarterfinals,Round Robin,Semifinals,The Final
1380,16,1.22,287,153,4.0,1,-8.369609856262834,70.05036914605196,1,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,1
1530,15,1.22,825,43,4.0,1,-8.347707049965777,69.68421299204833,1,1,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0
1530,15,1.14,486,79,5.0,1,-8.342231348391511,69.59282387008605,1,1,1.0,0,1,0,0,0,0,1,0,0,0,0,0,0
1530,15,1.06,417,102,8.0,1,-8.336755646817249,69.50149471473928,1,1,1.0,0,1,0,0,0,0,0,1,0,0,0,0,0
1530,15,9.0,8120,1,1.05,0,-8.331279945242983,69.41022552600792,1,1,1.0,0,1,0,0,0,0,0,0,1,0,0,0,0
1625,14,1.5,1180,22,2.5,0,-8.27104722792608,68.41022224658367,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0
1625,14,1.16,540,67,4.5,1,-8.251882272416154,68.09356103781599,0,0,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0
1625,14,1.16,374,120,4.5,1,-8.246406570841888,68.00322133162426,0,0,0.6,1,0,0,0,0,0,1,0,0,0,0,0,0
1625,14,1.61,2555,7,2.2,1,-8.240930869267626,67.91294159204806,0,0,0.6,1,0,0,0,0,0,0,0,0,1,0,0,0
1625,14,1.66,1215,22,2.1,0,-8.238193018480494,67.86782420974076,0,0,0.6,1,0,0,0,0,0,0,0,0,0,0,1,0
1665,14,1.25,720,49,3.5,1,-8.229979466119097,67.73256201274198,1,0,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0
1665,14,1.08,443,98,7.0,1,-8.227241615331966,67.68750459705014,1,0,0.8,1,0,0,0,0,0,1,0,0,0,0,0,0
1665,14,9.0,8120,1,1.04,0,-8.224503764544831,67.6424621730121,1,0,0.8,1,0,0,0,0,0,0,0,0,1,0,0,0
1715,13,1.3,765,43,3.39,1,-8.194387405886378,67.14798495774927,1,0,0.6,0,0,1,0,0,0,1,0,0,0,0,0,0
1715,13,1.25,511,71,3.75,1,-8.194387405886378,67.14798495774927,1,0,0.6,0,0,1,0,0,0,0,1,0,0,0,0,0
1715,13,1.22,757,46,4.0,1,-8.188911704312115,67.05827490101996,1,0,0.8,0,0,1,0,0,0,0,0,1,0,0,0,0
1715,13,1.44,1645,15,2.75,1,-8.18343600273785,66.96862481090604,1,0,0.8,0,0,1,0,0,0,0,0,0,1,0,0,0
